Name,University,Bachelors,Masters,Doctorate,PostDoc,JoinYear,Rank,Subfield,Gender,PhotoURL,Sources,LastUpdateBy,LastUpdatedDate
John Knight,University of Virginia,Imperial College - United Kingdom,,University of Newcastle - United Kindom,,1981,Full,Software Engineering,Male,http://www.cs.virginia.edu/~jck/index_files/image3339.jpg,http://www.cs.virginia.edu/~jck/,2,2015-10-09
John Stankovic,University of Virginia,,,Brown University - USA,,1997,Full,Networks & Communications,Male,http://www.cs.virginia.edu/people/faculty/images/stankovic-jack.jpg,http://www.cis.temple.edu/~slin/CV-Shanlin.pdf,2,2015-10-09
Kamin Whitehouse,University of Virginia,Rutgers University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,2006,Associate,Networks & Communications,Male,http://www.cs.virginia.edu/people/faculty/images/whitehouse-kamin.jpg,http://www.cs.virginia.edu/~whitehouse/,2,2015-10-09
Kevin Skadron,University of Virginia,Rice University - USA,,Princeton University - USA,,1999,Full,Hardware & Architecture,Male,http://www.cs.virginia.edu/~skadron/images/pics/skadron_headshotcropped_2013.jpg,http://www.cs.virginia.edu/people/faculty/skadron.html,2,2015-10-09
Kevin Sullivan,University of Virginia,Tufts University - USA,University of Washington - USA,University of Washington - USA,,1994,Associate,Software Engineering,Male,http://www.cs.virginia.edu/people/faculty/images/sullivan-kevin.jpg,http://www.cs.virginia.edu/people/faculty/sullivan.html,2,2015-10-09
Malathi Veeraraghavan,University of Virginia,Indian Institute of Technology - Madras - India,Duke University - USA,Duke University - USA,,2003,Full,Networks & Communications,,,http://www.ece.virginia.edu/mv/,2,2016-07-24
Marty Humphrey,University of Virginia,Clarkson University - USA,Clarkson University - USA,University of Massachusetts - Amherst - USA,,1998,Associate,World Wide Web,Male,http://www.cs.virginia.edu/people/faculty/images/humphrey-marty.jpg,http://www.cs.virginia.edu/~humphrey/,2,2015-10-09
Mary Lou Soffa,University of Virginia,University of Pittsburgh - USA,Ohio State University - USA,University of Pittsburgh - USA,,2004,Full,Real-Time & Embedded Systems,Female,http://www.cs.virginia.edu/soffa_new/wp-content/uploads/2011/01/mls-picture-with-orchids-277x300.jpg,http://www.cs.virginia.edu/~soffa/02JAN.2013.MASTER.MLS.VITA.pdf,2,2015-10-09
Mohammad Mahmoody,University of Virginia,Sharif University of Technology - Tehran - Iran,,Princeton University - USA,Cornell University - USA,2013,Assistant,Security & Privacy,Male,http://www.cs.virginia.edu/~mohammad/files/me.png,http://www.cs.virginia.edu/~mohammad/files/CV.pdf,2,2015-10-09
Sudhanva Gurumurthi,University of Virginia,College of Engineering Guindy - Anna University - Chennai - India,,Pennsylvania State University - USA,,2005,Associate,Hardware & Architecture,,,http://www.cs.virginia.edu/~gurumurthi/,2,2016-07-24
Westley Weimer,University of Virginia,Cornell University - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,2006,Associate,Software Engineering,Male,http://www.cs.virginia.edu/people/faculty/images/weimer-2009.jpg,http://www.cs.virginia.edu/people/faculty/weimer.html,8456,2017-10-23
Worthy Martin,University of Virginia,,,University of Texas - Austin - USA,,1982,Associate,Computer Vision,Male,http://www.cs.virginia.edu/brochure/new_images/martin.jpg,http://www.cs.virginia.edu/people/faculty/martin.html,2,2015-10-09
Yanjun Qi,University of Virginia,Tsinghua University - Beijing - China,Carnegie Mellon University - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,2013,Assistant,Machine Learning & Pattern Recognition,Female,http://www.cs.virginia.edu/yanjun/index_files/yanjun.jpg,http://www.cs.virginia.edu/yanjun/,2,2015-10-09
Alan Borning,University of Washington,Reed College - USA,Stanford University - USA,Stanford University - USA,,1980,Full,Human-Computer Interaction,Male,http://hemingway.cs.washington.edu/CSE_Portraits/images/20120228__BRH5952_Edit.jpg,http://www.cs.washington.edu/people/faculty/borning/,2,2015-10-09
Ali Farhadi,University of Washington,Shahid Beheshti University - Iran,,University of Illinois at Urbana-Champaign - USA,Carnegie Mellon University - USA,2012,Assistant,Computer Vision,,,http://homes.cs.washington.edu/~ali/,6964,2017-03-27
Anna R. Karlin,University of Washington,Stanford University - USA,,Stanford University - USA,,1994,Full,Algorithms & Theory,,,http://www.cs.washington.edu/people/faculty/karlin,6964,2017-03-27
Anup Rao,University of Washington,Georgia Institute of Technology - USA,,University of Texas - Austin - USA,Princeton University - USA,2010,Assistant,Algorithms & Theory,,,https://homes.cs.washington.edu/~anuprao/CVnew.pdf,6964,2017-03-27
Arvind Krishnamurthy,University of Washington,Indian Institute of Technology - Madras - India,University of California - Berkeley - USA,University of California - Berkeley - USA,,2005,Associate,Hardware & Architecture,,,http://www.cs.washington.edu/people/faculty/arvind/,6964,2017-03-27
Brian L. Curless,University of Washington,University of Texas - Austin - USA,Stanford University - USA,Stanford University - USA,Stanford University - USA,1998,Full,Graphics,,,http://homes.cs.washington.edu/~curless/curless_cv.pdf,6964,2017-03-27
Carlos Guestrin,University of Washington,University of São Paulo - Brazil,Stanford University - USA,Stanford University - USA,,2012,Full,Machine Learning & Pattern Recognition,,,http://www.cs.washington.edu/people/faculty/guestrin,6964,2017-03-27
Dan Grossman,University of Washington,Rice University - USA,,Cornell University - USA,,2003,Associate,Programming Languages,,,http://homes.cs.washington.edu/~djg/grossman_bio.html,6964,2017-03-27
Dan Suciu,University of Washington,Polytechnic University of Bucharest - Romania,,University of Pennsylvania - USA,,2000,Full,Databases,,,http://www.cs.washington.edu/people/faculty/suciu,6964,2017-03-27
Daniel S. Weld,University of Washington,Yale University - USA,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,,1988,Full,Artificial Intelligence,Male,http://www.cs.washington.edu/public_files/portraits/weld_sm.jpg,http://www.cs.washington.edu/people/faculty/weld/,2,2015-10-09
David Wetherall,University of Washington,University of Western Australia - Australia,,Massachusetts Institute of Technology - USA,,1999,Full,Networks & Communications,,,http://djw.cs.washington.edu/djw-cv.pdf,6964,2017-03-27
Dieter Fox,University of Washington,University of Bonn - Germany,University of Bonn - Germany,University of Bonn - Germany,Carnegie Mellon University - USA,2000,Full,Artificial Intelligence,,,http://www.cs.washington.edu/people/faculty/fox/cv/,6964,2017-03-27
Ed Lazowska,University of Washington,Brown University - USA,University of Toronto - Canada,University of Toronto - Canada,,1977,Full,Networks & Communications,,,http://www.cs.washington.edu/people/faculty/lazowska,6964,2017-03-27
Emanuel Todorov,University of Washington,West Virginia Wesleyan College - USA,,Massachusetts Institute of Technology - USA,University College London - United Kingdom,2008,Associate,Artificial Intelligence,,,http://www.cs.washington.edu/people/faculty/todorov,6964,2017-03-27
Gaetano Borriello,University of Washington,Polytechnic University - Brooklyn - New York - USA,Stanford University - USA,University of California - Berkeley - USA,,1988,Full,Real-Time & Embedded Systems,Male,http://www.cs.washington.edu/homes/gaetano/me.jpg,http://www.cs.washington.edu/people/faculty/gaetano,6964,2017-03-27
Georg Seelig,University of Washington,University of Basel - Switzerland,,University of Geneva - Switzerland,California Institute of Technology - USA,2009,Assistant,Bioinformatics & Computational Biology,,,http://homes.cs.washington.edu/~seelig/people/seelig/cv_seelig_for_web.pdf,6964,2017-03-27
Henry M. Levy,University of Washington,Carnegie Mellon University - USA,University of Washington - USA,,,1983,Full,Operating Systems,,,http://en.wikipedia.org/wiki/Hank_Levy_(computer_scientist),6964,2017-03-27
Ira Kemelmacher-Shlizerman,University of Washington,,,Weizmann Institute of Science - Israel,University of Washington - USA,2012,Assistant,Computer Vision,,,http://homes.cs.washington.edu/~kemelmi/,6964,2017-03-27
James A. Fogarty,University of Washington,Virginia Polytechnic Institute and State University - USA,,Carnegie Mellon University - USA,Carnegie Mellon University - USA,2006,Associate,Human-Computer Interaction,,,http://homes.cs.washington.edu/~jfogarty/publications/jfogarty-vitae.pdf,6964,2017-03-27
James Landay,University of Washington,University of California - Berkeley - USA,Carnegie Mellon University - USA,Carnegie Mellon University - USA,,2003,Full,Human-Computer Interaction,Male,https://cap.stanford.edu/profiles/viewImage?profileId=60979&type=square,http://www.cs.washington.edu/people/faculty/landay,6964,2017-03-28
James R. Lee,University of Washington,,,University of California - Berkeley - USA,Princeton University - USA,2006,Associate,Algorithms & Theory,,,http://www.cs.washington.edu/people/faculty/jrl,6964,2017-03-27
Jeff Heer,University of Washington,University of California - Berkeley - USA,University of California - Berkeley - USA,University of California - Berkeley - USA,,2013,Associate,Human-Computer Interaction,,,http://www.cs.washington.edu/people/faculty/jheer,6964,2017-03-27
John Zahorjan,University of Washington,Brown University - USA,Brown University - USA,University of Toronto - Canada,,1980,Full,Operating Systems,Male,http://homes.cs.washington.edu/~zahorjan/homepage/small.jpg,http://homes.cs.washington.edu/~zahorjan/homepage/index.htm#shortbio,6964,2017-03-27
Joshua R. Smith,University of Washington,Williams College - USA,University of Cambridge - United Kingdom,Massachusetts Institute of Technology - USA,,2011,Associate,Real-Time & Embedded Systems,,,https://www.cs.washington.edu/people/faculty/jrs/,6964,2017-03-27
Larry Ruzzo,University of Washington,California Institute of Technology - USA,,University of California - Berkeley - USA,,1977,Full,Bioinformatics & Computational Biology,,,http://www.cs.washington.edu/people/faculty/ruzzo,6964,2017-03-27
Linda Shapiro,University of Washington,University of Illinois at Urbana-Champaign - USA,University of Iowa - USA,University of Iowa - USA,,1986,Full,Computer Vision,,,http://www.cs.washington.edu/people/faculty/shapiro,6964,2017-03-27
Luis Ceze,University of Washington,University of São Paulo - Brazil,University of São Paulo - Brazil,University of Illinois at Urbana-Champaign - USA,,2007,Associate,Hardware & Architecture,Male,http://www.cs.washington.edu/public_files/luis_ceze.jpg,http://www.cs.washington.edu/people/faculty/luisceze/,6964,2017-03-27
Luke Zettlemoyer,University of Washington,North Carolina State University - USA,,Massachusetts Institute of Technology - USA,,2009,Assistant,Natural Language & Speech,Male,http://homes.cs.washington.edu/~lsz/luke.jpg,http://www.cs.washington.edu/people/faculty/lsz,9158,2018-03-13
Magdalena Balazinska,University of Washington,École Polytechnique de Montréal - Quebec - Canada,École Polytechnique de Montréal - Quebec - Canada,Massachusetts Institute of Technology - USA,,2006,Associate,Databases,Female,http://www.cs.washington.edu/homes/magda/magda4.jpg,http://www.cs.washington.edu/people/faculty/magda,6964,2017-03-27
Mark Oskin,University of Washington,University of California - Davis - USA,University of California - Davis - USA,University of California - Davis - USA,,2001,Associate,Hardware & Architecture,,,http://homes.cs.washington.edu/~oskin/,6964,2017-03-28
Martin Tompa,University of Washington,Harvard University - USA,University of Toronto - Canada,University of Toronto - Canada,University of Washington - USA,1978,Full,Bioinformatics & Computational Biology,Male,http://www.cs.washington.edu/homes/tompa/pics/tompa.jpg,http://www.cs.washington.edu/people/faculty/tompa,2,2015-10-09
Maya Cakmak,University of Washington,Middle East Technical University - Ankara - Turkey,Middle East Technical University - Ankara - Turkey,Georgia Institute of Technology - USA,Willow Garage Inc. - USA,2013,Assistant,Artificial Intelligence,Female,http://www.cs.washington.edu/sites/default/files/cakmak.jpg,http://www.mayacakmak.com/home,6964,2017-03-28
Michael Ernst,University of Washington,Massachusetts Institute of Technology - USA,Massachusetts Institute of Technology - USA,University of Washington - USA,,2009,Full,Software Engineering,,,http://homes.cs.washington.edu/~mernst/research/ernst-cv.pdf,6964,2017-03-28
Oren Etzioni,University of Washington,Harvard University - USA,,Carnegie Mellon University - USA,,1991,Full,Natural Language & Speech,,,http://homes.cs.washington.edu/~etzioni/bio.html,6964,2017-03-28
